ref_stop,departure_time,dep_sec,hour,headway_min
Shinjuku,20:01:00,72060,20,1
Shinjuku,20:02:00,72120,20,1
Shinjuku,20:05:00,72300,20,3
Shinjuku,20:06:00,72360,20,1
Shinjuku,20:07:00,72420,20,1
Shinjuku,20:10:00,72600,20,3
Shinjuku,20:11:00,72660,20,1
Shinjuku,20:12:00,72720,20,1
Shinjuku,20:13:00,72780,20,1
Shinjuku,20:15:00,72900,20,2
Shinjuku,20:16:00,72960,20,1
Shinjuku,20:18:00,73080,20,2
Shinjuku,20:19:00,73140,20,1
Shinjuku,20:21:00,73260,20,2
Shinjuku,20:24:00,73440,20,3
Shinjuku,20:25:00,73500,20,1
Shinjuku,20:26:00,73560,20,1
Shinjuku,20:28:00,73680,20,2
Shinjuku,20:30:00,73800,20,2
Shinjuku,20:32:00,73920,20,2
Shinjuku,20:33:00,73980,20,1
Shinjuku,20:37:00,74220,20,4
Shinjuku,20:38:00,74280,20,1
Shinjuku,20:41:00,74460,20,3
Shinjuku,20:42:00,74520,20,1
Shinjuku,20:43:00,74580,20,1
Shinjuku,20:46:00,74760,20,3
Shinjuku,20:47:00,74820,20,1
Shinjuku,20:48:00,74880,20,1
Shinjuku,20:50:00,75000,20,2
Shinjuku,20:51:00,75060,20,1
Shinjuku,20:52:00,75120,20,1
Shinjuku,20:54:00,75240,20,2
Shinjuku,20:55:00,75300,20,1
Shinjuku,20:56:00,75360,20,1
Shinjuku,20:59:00,75540,20,3
Shinjuku,21:00:00,75600,21,1
Shinjuku,21:01:00,75660,21,1
Shinjuku,21:04:00,75840,21,3
Shinjuku,21:05:00,75900,21,1
Shinjuku,21:07:00,76020,21,2
Shinjuku,21:09:00,76140,21,2
Shinjuku,21:12:00,76320,21,3
Shinjuku,21:13:00,76380,21,1
Shinjuku,21:14:00,76440,21,1
Shinjuku,21:18:00,76680,21,4
Shinjuku,21:19:00,76740,21,1
Shinjuku,21:22:00,76920,21,3
Shinjuku,21:24:00,77040,21,2
Shinjuku,21:25:00,77100,21,1
Shinjuku,21:27:00,77220,21,2
Shinjuku,21:29:00,77340,21,2
Shinjuku,21:32:00,77520,21,3
Shinjuku,21:34:00,77640,21,2
Shinjuku,21:36:00,77760,21,2
Shinjuku,21:38:00,77880,21,2
Shinjuku,21:39:00,77940,21,1
Shinjuku,21:40:00,78000,21,1
Shinjuku,21:43:00,78180,21,3
Shinjuku,21:44:00,78240,21,1
Shinjuku,21:45:00,78300,21,1
Shinjuku,21:48:00,78480,21,3
Shinjuku,21:49:00,78540,21,1
Shinjuku,21:51:00,78660,21,2
Shinjuku,21:52:00,78720,21,1
Shinjuku,21:54:00,78840,21,2
Shinjuku,21:57:00,79020,21,3
Shinjuku,21:58:00,79080,21,1
Shinjuku,21:59:00,79140,21,1
Shinjuku,22:02:00,79320,22,3
Shinjuku,22:03:00,79380,22,1
Shinjuku,22:04:00,79440,22,1
Shinjuku,22:05:00,79500,22,1
Shinjuku,22:09:00,79740,22,4
Shinjuku,22:10:00,79800,22,1
Shinjuku,22:11:00,79860,22,1
Shinjuku,22:13:00,79980,22,2
Shinjuku,22:14:00,80040,22,1
Shinjuku,22:15:00,80100,22,1
Shinjuku,22:17:00,80220,22,2
Shinjuku,22:19:00,80340,22,2
Shinjuku,22:21:00,80460,22,2
Shinjuku,22:22:00,80520,22,1
Shinjuku,22:23:00,80580,22,1
Shinjuku,22:26:00,80760,22,3
Shinjuku,22:27:00,80820,22,1
Shinjuku,22:30:00,81000,22,3
Shinjuku,22:32:00,81120,22,2
Shinjuku,22:34:00,81240,22,2
Shinjuku,22:36:00,81360,22,2
Shinjuku,22:37:00,81420,22,1
Shinjuku,22:39:00,81540,22,2
Shinjuku,22:41:00,81660,22,2
Shinjuku,22:45:00,81900,22,4
Shinjuku,22:46:00,81960,22,1
Shinjuku,22:50:00,82200,22,4
Shinjuku,22:51:00,82260,22,1
Shinjuku,22:52:00,82320,22,1
Shinjuku,22:53:00,82380,22,1
Shinjuku,22:55:00,82500,22,2
Shinjuku,22:56:00,82560,22,1
Shinjuku,22:59:00,82740,22,3
Shinjuku,23:00:00,82800,23,1
Shinjuku,23:05:00,83100,23,5
Shinjuku,23:06:00,83160,23,1
Shinjuku,23:11:00,83460,23,5
Shinjuku,23:12:00,83520,23,1
Shinjuku,23:16:00,83760,23,4
Shinjuku,23:17:00,83820,23,1
