hour_tokyo,trip_id_norm,stop_sequence,stop_id,stop_name_display,stop_name,start_date,rt_dt_utc,sched_dt_utc,delay_sec
2026-02-06T10:00:00Z,4200931G,18,4218,Nippori,日暮里,20260206,2026-02-06T01:22:47Z,2026-02-06T01:22:00Z,47
2026-02-06T10:00:00Z,4200931G,19,4219,Uguisudani,鶯谷,20260206,2026-02-06T01:24:46Z,2026-02-06T01:23:00Z,106
2026-02-06T10:00:00Z,4200931G,20,4220,Ueno,上野,20260206,2026-02-06T01:26:47Z,2026-02-06T01:26:00Z,47
2026-02-06T10:00:00Z,4200931G,21,4221,Okachimachi,御徒町,20260206,2026-02-06T01:28:16Z,2026-02-06T01:27:00Z,76
2026-02-06T10:00:00Z,4200931G,22,4222,Akihabara,秋葉原,20260206,2026-02-06T01:30:17Z,2026-02-06T01:29:00Z,77
2026-02-06T10:00:00Z,4200931G,23,4223,Kanda,神田,20260206,2026-02-06T01:32:16Z,2026-02-06T01:31:00Z,76
2026-02-06T10:00:00Z,4200931G,24,4224,Tokyo,東京,20260206,2026-02-06T01:34:17Z,2026-02-06T01:33:00Z,77
2026-02-06T10:00:00Z,4200931G,25,4225,Yurakucho,有楽町,20260206,2026-02-06T01:36:17Z,2026-02-06T01:35:00Z,77
2026-02-06T10:00:00Z,4200931G,26,4226,Shimbashi,新橋,20260206,2026-02-06T01:38:16Z,2026-02-06T01:37:00Z,76
2026-02-06T10:00:00Z,4200931G,27,4227,Hamamatsucho,浜松町,20260206,2026-02-06T01:40:46Z,2026-02-06T01:40:00Z,46
2026-02-06T10:00:00Z,4200931G,28,4228,Tamachi,田町,20260206,2026-02-06T01:42:47Z,2026-02-06T01:42:00Z,47
2026-02-06T10:00:00Z,4200931G,29,4229,Takanawa Gateway,高輪ゲートウェイ,20260206,2026-02-06T01:45:18Z,2026-02-06T01:44:00Z,78
2026-02-06T10:00:00Z,4200931G,30,4230,Shinagawa,品川,20260206,2026-02-06T01:47:17Z,2026-02-06T01:46:00Z,77
2026-02-06T10:00:00Z,4200931G,31,4201,Osaki,大崎,20260206,2026-02-06T01:49:00Z,2026-02-06T01:49:00Z,0
2026-02-06T10:00:00Z,4201001G,1,4201,Osaki,大崎,20260206,2026-02-06T01:20:47Z,2026-02-06T01:20:00Z,47
2026-02-06T10:00:00Z,4201001G,2,4202,Gotanda,五反田,20260206,2026-02-06T01:22:47Z,2026-02-06T01:21:00Z,107
2026-02-06T10:00:00Z,4201001G,3,4203,Meguro,目黒,20260206,2026-02-06T01:24:46Z,2026-02-06T01:24:00Z,46
2026-02-06T10:00:00Z,4201001G,4,4204,Ebisu,恵比寿,20260206,2026-02-06T01:27:17Z,2026-02-06T01:26:00Z,77
2026-02-06T10:00:00Z,4201001G,5,4205,Shibuya,渋谷,20260206,2026-02-06T01:29:46Z,2026-02-06T01:29:00Z,46
2026-02-06T10:00:00Z,4201001G,6,4206,Harajuku,原宿,20260206,2026-02-06T01:32:16Z,2026-02-06T01:31:00Z,76
2026-02-06T10:00:00Z,4201001G,7,4207,Yoyogi,代々木,20260206,2026-02-06T01:34:17Z,2026-02-06T01:33:00Z,77
2026-02-06T10:00:00Z,4201001G,8,4208,Shinjuku,新宿,20260206,2026-02-06T01:36:48Z,2026-02-06T01:36:00Z,48
2026-02-06T10:00:00Z,4201001G,9,4209,Shin-Okubo,新大久保,20260206,2026-02-06T01:38:47Z,2026-02-06T01:38:00Z,47
2026-02-06T10:00:00Z,4201001G,10,4210,Takadanobaba,高田馬場,20260206,2026-02-06T01:40:46Z,2026-02-06T01:40:00Z,46
2026-02-06T10:00:00Z,4201001G,11,4211,Mejiro,目白,20260206,2026-02-06T01:43:16Z,2026-02-06T01:42:00Z,76
2026-02-06T10:00:00Z,4201001G,12,4212,Ikebukuro,池袋,20260206,2026-02-06T01:45:18Z,2026-02-06T01:44:00Z,78
2026-02-06T10:00:00Z,4201001G,13,4213,Otsuka,大塚,20260206,2026-02-06T01:48:16Z,2026-02-06T01:47:00Z,76
2026-02-06T10:00:00Z,4201001G,14,4214,Sugamo,巣鴨,20260206,2026-02-06T01:49:00Z,2026-02-06T01:49:00Z,0
2026-02-06T10:00:00Z,4201001G,15,4215,Komagome,駒込,20260206,2026-02-06T01:51:00Z,2026-02-06T01:51:00Z,0
2026-02-06T10:00:00Z,4201001G,16,4216,Tabata,田端,20260206,2026-02-06T01:53:00Z,2026-02-06T01:53:00Z,0
2026-02-06T10:00:00Z,4201001G,17,4217,Nishi-Nippori,西日暮里,20260206,2026-02-06T01:55:00Z,2026-02-06T01:55:00Z,0
2026-02-06T10:00:00Z,4201001G,18,4218,Nippori,日暮里,20260206,2026-02-06T01:57:00Z,2026-02-06T01:57:00Z,0
2026-02-06T10:00:00Z,4201001G,19,4219,Uguisudani,鶯谷,20260206,2026-02-06T01:58:00Z,2026-02-06T01:58:00Z,0
2026-02-06T11:00:00Z,4201001G,20,4220,Ueno,上野,20260206,2026-02-06T02:01:00Z,2026-02-06T02:01:00Z,0
2026-02-06T11:00:00Z,4201001G,21,4221,Okachimachi,御徒町,20260206,2026-02-06T02:02:00Z,2026-02-06T02:02:00Z,0
2026-02-06T11:00:00Z,4201001G,22,4222,Akihabara,秋葉原,20260206,2026-02-06T02:04:00Z,2026-02-06T02:04:00Z,0
2026-02-06T11:00:00Z,4201001G,23,4223,Kanda,神田,20260206,2026-02-06T02:06:00Z,2026-02-06T02:06:00Z,0
2026-02-06T11:00:00Z,4201001G,24,4224,Tokyo,東京,20260206,2026-02-06T02:08:00Z,2026-02-06T02:08:00Z,0
2026-02-06T11:00:00Z,4201001G,25,4225,Yurakucho,有楽町,20260206,2026-02-06T02:10:00Z,2026-02-06T02:10:00Z,0
2026-02-06T11:00:00Z,4201001G,26,4226,Shimbashi,新橋,20260206,2026-02-06T02:12:00Z,2026-02-06T02:12:00Z,0
2026-02-06T11:00:00Z,4201001G,27,4227,Hamamatsucho,浜松町,20260206,2026-02-06T02:15:00Z,2026-02-06T02:15:00Z,0
2026-02-06T11:00:00Z,4201001G,28,4228,Tamachi,田町,20260206,2026-02-06T02:17:00Z,2026-02-06T02:17:00Z,0
2026-02-06T11:00:00Z,4201001G,29,4229,Takanawa Gateway,高輪ゲートウェイ,20260206,2026-02-06T02:19:00Z,2026-02-06T02:19:00Z,0
2026-02-06T11:00:00Z,4201001G,30,4230,Shinagawa,品川,20260206,2026-02-06T02:21:00Z,2026-02-06T02:21:00Z,0
2026-02-06T11:00:00Z,4201001G,31,4201,Osaki,大崎,20260206,2026-02-06T02:24:00Z,2026-02-06T02:24:00Z,0
2026-02-06T10:00:00Z,4201003G,1,4201,Osaki,大崎,20260206,2026-02-06T01:10:47Z,2026-02-06T01:10:00Z,47
2026-02-06T10:00:00Z,4201003G,2,4202,Gotanda,五反田,20260206,2026-02-06T01:12:47Z,2026-02-06T01:11:00Z,107
2026-02-06T10:00:00Z,4201003G,3,4203,Meguro,目黒,20260206,2026-02-06T01:14:46Z,2026-02-06T01:14:00Z,46
2026-02-06T10:00:00Z,4201003G,4,4204,Ebisu,恵比寿,20260206,2026-02-06T01:17:16Z,2026-02-06T01:16:00Z,76
2026-02-06T10:00:00Z,4201003G,5,4205,Shibuya,渋谷,20260206,2026-02-06T01:19:47Z,2026-02-06T01:19:00Z,47
2026-02-06T10:00:00Z,4201003G,6,4206,Harajuku,原宿,20260206,2026-02-06T01:22:17Z,2026-02-06T01:21:00Z,77
2026-02-06T10:00:00Z,4201003G,7,4207,Yoyogi,代々木,20260206,2026-02-06T01:24:46Z,2026-02-06T01:23:00Z,106
2026-02-06T10:00:00Z,4201003G,8,4208,Shinjuku,新宿,20260206,2026-02-06T01:26:47Z,2026-02-06T01:26:00Z,47
2026-02-06T10:00:00Z,4201003G,9,4209,Shin-Okubo,新大久保,20260206,2026-02-06T01:28:46Z,2026-02-06T01:28:00Z,46
2026-02-06T10:00:00Z,4201003G,10,4210,Takadanobaba,高田馬場,20260206,2026-02-06T01:31:17Z,2026-02-06T01:30:00Z,77
2026-02-06T10:00:00Z,4201003G,11,4211,Mejiro,目白,20260206,2026-02-06T01:33:17Z,2026-02-06T01:32:00Z,77
2026-02-06T10:00:00Z,4201003G,12,4212,Ikebukuro,池袋,20260206,2026-02-06T01:35:17Z,2026-02-06T01:34:00Z,77
2026-02-06T10:00:00Z,4201003G,13,4213,Otsuka,大塚,20260206,2026-02-06T01:37:48Z,2026-02-06T01:37:00Z,48
2026-02-06T10:00:00Z,4201003G,14,4214,Sugamo,巣鴨,20260206,2026-02-06T01:39:47Z,2026-02-06T01:39:00Z,47
2026-02-06T10:00:00Z,4201003G,15,4215,Komagome,駒込,20260206,2026-02-06T01:41:46Z,2026-02-06T01:41:00Z,46
2026-02-06T10:00:00Z,4201003G,16,4216,Tabata,田端,20260206,2026-02-06T01:44:47Z,2026-02-06T01:43:00Z,107
2026-02-06T10:00:00Z,4201003G,17,4217,Nishi-Nippori,西日暮里,20260206,2026-02-06T01:46:17Z,2026-02-06T01:45:00Z,77
2026-02-06T10:00:00Z,4201003G,18,4218,Nippori,日暮里,20260206,2026-02-06T01:47:47Z,2026-02-06T01:47:00Z,47
